algo,seed,timesteps,pct_of_training,wall_clock_min,success_rate_within_time_fraction,reached_at_all_rate,avg_steps_to_reach,avg_final_distance,avg_min_distance
ddpg,0,25000,2.5,1.975,0.0,0.0,,0.22598885393294715,0.2259759408441444
ddpg,0,50000,5.0,5.233333333333333,0.0,0.0,,0.22688422811320125,0.22688422811320125
ddpg,0,75000,7.5,8.483333333333333,0.0,0.0,,0.24480349800764847,0.20741130190704973
ddpg,0,100000,10.0,11.9,0.0,0.0,,0.19952234397403087,0.1981210930176372
ddpg,0,125000,12.5,15.466666666666667,0.0,0.0,,0.222627271171649,0.2094640052521984
ddpg,0,150000,15.0,19.033333333333335,0.0,0.0,,0.19983075792544175,0.18804106770681778
ddpg,0,175000,17.5,22.608333333333334,0.0,0.0,,0.17914103359387518,0.17812738630805897
ddpg,0,200000,20.0,26.183333333333334,0.0,0.0,,0.15982917306207978,0.15852041428459615
ddpg,0,225000,22.5,29.741666666666667,0.0,0.0,,0.15652429602415882,0.15652382986809846
ddpg,0,250000,25.0,33.31666666666667,0.1,0.1,54.0,0.20218623650408926,0.16501070786103297
ddpg,0,275000,27.5,36.86666666666667,0.0,0.0,,0.09881572873902067,0.0920245501058353
ddpg,0,300000,30.0,40.483333333333334,0.2,0.2,93.5,0.0865453592501251,0.06676217682849964
ddpg,0,325000,32.5,44.15833333333333,0.0,0.0,,0.14624690494831877,0.13825900029539692
ddpg,0,350000,35.0,47.8,0.0,0.0,,0.0737803251665187,0.06366431890541355
ddpg,0,375000,37.5,51.43333333333333,0.0,0.0,,0.09308209392615825,0.08528963684344786
ddpg,0,400000,40.0,55.06666666666667,0.0,0.0,,0.1404448617526825,0.12954871339500404
ddpg,0,425000,42.5,58.78333333333333,0.0,0.0,,0.18125442814156945,0.17918206647338414
ddpg,0,450000,45.0,62.483333333333334,0.1,0.1,95.0,0.07259811036202055,0.060689277890784744
ddpg,0,475000,47.5,66.23333333333333,0.0,0.0,,0.10882383002149627,0.08765704163176456
ddpg,0,500000,50.0,69.95,0.0,0.0,,0.11483355839013512,0.11271231536154955
ddpg,0,525000,52.5,73.66666666666667,0.0,0.0,,0.1454434122570886,0.13347958223258366
ddpg,0,550000,55.0,77.48333333333333,0.0,0.0,,0.08098256180883259,0.07902080933797516
ddpg,0,575000,57.5,81.16666666666667,0.4,0.4,89.0,0.050735048104439365,0.04471599040944419
ddpg,0,600000,60.0,84.85,0.1,0.1,71.0,0.12325329728320551,0.10939895550450689
ddpg,0,625000,62.5,88.5,0.0,0.0,,0.11845395225588844,0.10808475637766919
ddpg,0,650000,65.0,92.16666666666667,0.4,0.4,81.5,0.05546256102560939,0.044797444526845406
ddpg,0,675000,67.5,95.76666666666667,0.0,0.0,,0.22382490938404512,0.2167201916111884
ddpg,0,700000,70.0,99.48333333333333,0.1,0.1,90.0,0.15901991702702128,0.12534306494262779
ddpg,0,725000,72.5,103.26666666666667,0.3,0.3,66.66666666666667,0.10987902349524312,0.07747480679622981
ddpg,0,750000,75.0,107.03333333333333,0.0,0.0,,0.18534924341498232,0.16053290030483622
ddpg,0,775000,77.5,110.81666666666666,0.1,0.1,92.0,0.08844235449696296,0.07840203101522815
ddpg,0,800000,80.0,114.63333333333334,0.0,0.0,,0.1298419654744492,0.12448290988866646
ddpg,0,825000,82.5,118.36666666666666,0.0,0.0,,0.12309525471149863,0.12264436202277669
ddpg,0,850000,85.0,122.0,0.0,0.0,,0.1268476518891458,0.09241480784746578
ddpg,0,875000,87.5,125.66666666666667,0.1,0.1,64.0,0.10569468453402878,0.10167947570940972
ddpg,0,900000,90.0,129.33333333333334,0.0,0.0,,0.09592103140015079,0.08006536322885396
ddpg,0,925000,92.5,133.03333333333333,0.0,0.0,,0.12949605396296174,0.09759346117440569
ddpg,0,950000,95.0,136.68333333333334,0.0,0.0,,0.11976456212365058,0.11161119780916291
ddpg,0,975000,97.5,140.4,0.1,0.1,100.0,0.08603971320607434,0.07808572938545295
ddpg,0,1000000,100.0,144.06666666666666,0.0,0.0,,0.12716235428235084,0.12716235428235084
ddpg,1,25000,2.5,1.9916666666666667,0.0,0.0,,0.23043741036717522,0.22597033940377398
ddpg,1,50000,5.0,5.283333333333333,0.0,0.0,,0.22905893536880823,0.22523954686655084
ddpg,1,75000,7.5,8.541666666666666,0.0,0.0,,0.2289093255976559,0.2255735758559018
ddpg,1,100000,10.0,11.966666666666667,0.0,0.0,,0.23772285596958936,0.216274291053153
ddpg,1,125000,12.5,15.583333333333334,0.0,0.0,,0.15747267443804294,0.15543589182920753
ddpg,1,150000,15.0,19.15,0.0,0.0,,0.20091921190523016,0.18903658363781345
ddpg,1,175000,17.5,22.766666666666666,0.0,0.0,,0.2287636292546992,0.22343366596385347
ddpg,1,200000,20.0,26.4,0.0,0.0,,0.22688422811320125,0.22688422811320125
ddpg,1,225000,22.5,29.941666666666666,0.0,0.0,,0.21211961499591916,0.1794059802228697
ddpg,1,250000,25.0,33.5,0.0,0.0,,0.13909654711086555,0.1390854625704449
ddpg,1,275000,27.5,37.13333333333333,0.0,0.0,,0.1641064947346345,0.14513532593244727
ddpg,1,300000,30.0,40.8,0.1,0.1,96.0,0.06515423554300634,0.0640262677970042
ddpg,1,325000,32.5,44.45,0.3,0.3,77.0,0.08673273387566859,0.08138189454073615
ddpg,1,350000,35.0,48.15,0.2,0.2,73.0,0.12861813815612283,0.1079902568825581
ddpg,1,375000,37.5,51.75,0.1,0.1,43.0,0.08860505186065191,0.07961470579420933
ddpg,1,400000,40.0,55.43333333333333,0.0,0.0,,0.1052464547897427,0.10513355745620853
ddpg,1,425000,42.5,59.11666666666667,0.2,0.2,75.5,0.11256125679018059,0.09767686075074879
ddpg,1,450000,45.0,62.86666666666667,0.2,0.2,79.5,0.04233828876640944,0.04125024531886417
ddpg,1,475000,47.5,66.575,0.3,0.3,81.33333333333333,0.09319469299456493,0.08255628182050817
ddpg,1,500000,50.0,70.31666666666666,0.1,0.1,93.0,0.08902936321289132,0.07098987772664614
ddpg,1,525000,52.5,74.05833333333334,0.1,0.1,80.0,0.09846011256853861,0.08121758652469899
ddpg,1,550000,55.0,77.85,0.1,0.1,78.0,0.06074957262362646,0.05828694360434761
ddpg,1,575000,57.5,81.51666666666667,0.2,0.2,71.5,0.04914002262983142,0.04563619097865839
ddpg,1,600000,60.0,85.25,0.1,0.1,57.0,0.09810183178121504,0.0907020885184321
ddpg,1,625000,62.5,88.88333333333334,0.1,0.1,71.0,0.06552243398742227,0.062440465738713244
ddpg,1,650000,65.0,92.58333333333333,0.2,0.2,68.5,0.07158370090456453,0.05370838908813054
ddpg,1,675000,67.5,96.23333333333333,0.3,0.3,86.0,0.03118194293218956,0.03027771127028806
ddpg,1,700000,70.0,100.0,0.0,0.0,,0.09803446685732879,0.080150139923153
ddpg,1,725000,72.5,103.89166666666667,0.0,0.0,,0.09391804803669383,0.0896149210784398
ddpg,1,750000,75.0,107.76666666666667,0.0,0.0,,0.09668726450709367,0.08087349603197272
ddpg,1,775000,77.5,111.6,0.5,0.5,81.2,0.05639789681640274,0.05253202470323128
ddpg,1,800000,80.0,115.38333333333334,0.2,0.2,61.5,0.14810483410523687,0.10281691789946361
ddpg,1,825000,82.5,119.13333333333334,0.2,0.2,73.0,0.10830751190703054,0.06456006520247515
ddpg,1,850000,85.0,122.85,0.2,0.2,70.5,0.05084075539775697,0.04572896289135654
ddpg,1,875000,87.5,126.525,0.3,0.3,83.0,0.06106423559073709,0.04989615225187746
ddpg,1,900000,90.0,130.23333333333332,0.0,0.0,,0.10678641621576075,0.10333738257371876
ddpg,1,925000,92.5,133.88333333333333,0.1,0.1,72.0,0.0707089454226545,0.0669228631850101
ddpg,1,950000,95.0,137.56666666666666,0.0,0.0,,0.16870583101807732,0.1550369585746535
ddpg,1,975000,97.5,141.225,0.0,0.0,,0.14767688760854317,0.1360722506401567
ddpg,1,1000000,100.0,144.76666666666668,0.6,0.6,83.16666666666667,0.061228888432095716,0.05035189991844309
ddpg,2,25000,2.5,2.0083333333333333,0.0,0.0,,0.22688422811320125,0.22688422811320125
ddpg,2,50000,5.0,5.333333333333333,0.0,0.0,,0.2570820251025178,0.2072474560136631
ddpg,2,75000,7.5,8.616666666666667,0.0,0.0,,0.2242508066967776,0.21518507794248481
ddpg,2,100000,10.0,12.05,0.0,0.0,,0.2136977845533104,0.2129943527100418
ddpg,2,125000,12.5,15.65,0.0,0.0,,0.20804032623568136,0.20765024940325788
ddpg,2,150000,15.0,19.2,0.0,0.0,,0.18934295399839546,0.18705059747095001
