algo,run_tag,seed,timesteps,pct_of_training,wall_clock_min,success_rate_within_time_fraction,reached_at_all_rate,avg_steps_to_reach,avg_final_distance,avg_min_distance
ddpg,,2,275000,27.5,36.025,0.0,0.0,,0.15787716088512777,0.14654405679918953
ddpg,,2,300000,30.0,39.53333333333333,0.0,0.0,,0.13989924558960615,0.12128587979913596
ddpg,,2,325000,32.5,43.083333333333336,0.1,0.1,92.0,0.10666511510227154,0.1003182517762228
ddpg,,2,350000,35.0,46.666666666666664,0.0,0.0,,0.1455614017972784,0.13133983268896116
ddpg,,2,375000,37.5,50.266666666666666,0.1,0.1,93.0,0.11255839548063121,0.10212189782749118
ddpg,,2,400000,40.0,53.833333333333336,0.1,0.1,77.0,0.09314728467879127,0.09054886906315018
ddpg,,2,425000,42.5,57.416666666666664,0.0,0.0,,0.11212658168009089,0.10592118117228241
ddpg,,2,450000,45.0,61.016666666666666,0.0,0.0,,0.09905000162502406,0.08702077413360602
ddpg,,2,475000,47.5,64.58333333333333,0.0,0.0,,0.22688422811320125,0.22688422811320125
ddpg,,2,500000,50.0,68.16666666666667,0.2,0.2,87.5,0.10526388531522798,0.08091020673660662
ddpg,,2,525000,52.5,71.78333333333333,0.0,0.0,,0.08898749273312155,0.07888273004298627
ddpg,,2,550000,55.0,75.4,0.0,0.0,,0.10067617561524159,0.0948882395761523
ddpg,,2,575000,57.5,79.0,0.1,0.1,91.0,0.12947365416802162,0.12825719805921743
ddpg,,2,600000,60.0,82.65,0.0,0.0,,0.12376495050571608,0.11760593363349156
ddpg,,2,625000,62.5,86.28333333333333,0.0,0.0,,0.08832582661372573,0.08824309483264818
ddpg,,2,650000,65.0,89.98333333333333,0.2,0.2,78.0,0.08842487170226657,0.05822897517180614
ddpg,,2,675000,67.5,93.625,0.1,0.1,72.0,0.06555498991378557,0.057508307374229704
ddpg,,2,700000,70.0,97.33333333333333,0.1,0.1,82.0,0.13611748256186748,0.13594725021306858
ddpg,,2,725000,72.5,100.96666666666667,0.0,0.0,,0.11798089438820525,0.10795069826353305
ddpg,,2,750000,75.0,104.83333333333333,0.2,0.2,84.5,0.12867285075612464,0.0994010165710275
ddpg,,2,775000,77.5,108.7,0.0,0.0,,0.10301461589304892,0.10301461589304892
ddpg,,2,800000,80.0,112.53333333333333,0.4,0.4,86.5,0.06583474831166766,0.05917954776941203
ddpg,,2,825000,82.5,116.3,0.0,0.0,,0.11297903275581586,0.11101122811391165
ddpg,,2,850000,85.0,120.01666666666667,0.0,0.0,,0.05654681037196553,0.056277957671715007
ddpg,,2,875000,87.5,123.76666666666667,0.0,0.0,,0.13400877110485374,0.12927093820541136
ddpg,,2,900000,90.0,127.5,0.0,0.0,,0.1130574610834301,0.09664335759749941
ddpg,,2,925000,92.5,131.21666666666667,0.0,0.0,,0.13949035993284292,0.13464308735784006
ddpg,,2,950000,95.0,134.93333333333334,0.0,0.0,,0.1159594822844447,0.1070414763212841
ddpg,,2,975000,97.5,138.65,0.0,0.0,,0.1253200673643951,0.11604483577122675
ddpg,,2,1000000,100.0,142.28333333333333,0.0,0.0,,0.1162441249504774,0.1162441249504774
ddpg,noise03,0,25000,2.5,2.091666666666667,0.0,0.0,,0.22688422811320125,0.22688422811320125
