algo,seed,timesteps,pct_of_training,wall_clock_min,success_rate_within_time_fraction,reached_at_all_rate,avg_steps_to_reach,avg_final_distance,avg_min_distance
ddpg,4,225000,75.0,28.6,0.8,1.0,17.375,0.014378553836473799,0.006892115311508171
ddpg,4,250000,83.33333333333333,31.983333333333334,0.9,1.0,17.444444444444443,0.017495161604860855,0.006159634041192352
ddpg,4,275000,91.66666666666667,35.4,0.7,1.0,16.285714285714285,0.021001178205963138,0.007130110864399025
ddpg,4,300000,100.0,38.733333333333334,0.7,1.0,18.0,0.01483614324551523,0.007049226010056542
ddpg,5,25000,8.333333333333334,1.9,0.2,0.5,19.0,0.05326613357737122,0.03566912617785917
ddpg,5,50000,16.666666666666668,5.066666666666666,0.1,0.5,20.0,0.04163209828857769,0.02012398242744243
ddpg,5,75000,25.0,8.233333333333333,0.4,0.9,18.5,0.017861305126778783,0.0067925275973904145
ddpg,5,100000,33.333333333333336,11.55,0.7,1.0,17.571428571428573,0.013541031149864982,0.006346807727283761
ddpg,5,125000,41.666666666666664,14.916666666666666,0.7,0.9,18.0,0.01482990344619475,0.007311499510379559
ddpg,5,150000,50.0,18.266666666666666,0.7,0.9,16.714285714285715,0.010992492721487265,0.007527508180259243
ddpg,5,175000,58.333333333333336,21.65,0.6,1.0,17.5,0.008688118767004005,0.005007496868722119
ddpg,5,200000,66.66666666666667,25.016666666666666,0.7,1.0,17.857142857142858,0.011840755554959635,0.008432553256779617
ddpg,5,225000,75.0,28.35,0.9,1.0,17.555555555555557,0.007769716210440254,0.00380700666365223
ddpg,5,250000,83.33333333333333,31.733333333333334,0.6,0.9,17.666666666666668,0.015618617997306721,0.008439638061467442
ddpg,5,275000,91.66666666666667,35.083333333333336,0.8,0.9,17.125,0.01414793541891013,0.00876965282237488
ddpg,5,300000,100.0,38.46666666666667,0.8,1.0,17.625,0.014264730364482189,0.004959349911737268
td3,0,25000,8.333333333333334,1.2166666666666666,0.0,0.7,,0.025039424429135353,0.021134123100191683
td3,0,50000,16.666666666666668,3.25,0.1,0.6,20.0,0.025066683086493874,0.01665791730467644
td3,0,75000,25.0,5.266666666666667,0.3,0.8,18.666666666666668,0.016110541405947025,0.012235874471547819
td3,0,100000,33.333333333333336,7.383333333333334,0.3,0.8,19.333333333333332,0.014711018668260332,0.009893520597895734
td3,0,125000,41.666666666666664,9.533333333333333,0.4,1.0,18.75,0.010119309886062702,0.007825727715570722
td3,0,150000,50.0,11.733333333333333,0.5,1.0,18.0,0.009970171717497648,0.006838899760805911
td3,0,175000,58.333333333333336,13.966666666666667,0.5,1.0,18.4,0.008904087250228267,0.007569260580631902
td3,0,200000,66.66666666666667,16.2,0.7,1.0,18.285714285714285,0.00831758480570427,0.0054876960748624515
td3,0,225000,75.0,18.466666666666665,0.6,1.0,18.833333333333332,0.007972230368029696,0.004355480508389322
td3,0,250000,83.33333333333333,20.733333333333334,0.5,0.9,18.8,0.011071625829780883,0.006913112959309115
td3,0,275000,91.66666666666667,23.0,0.6,1.0,17.666666666666668,0.0061955987558116685,0.002616502494600373
td3,0,300000,100.0,25.283333333333335,0.6,1.0,18.166666666666668,0.007792092426526477,0.0035606578012224036
td3,1,25000,8.333333333333334,1.2166666666666666,0.0,0.4,,0.027945945945469043,0.021618853380987294
td3,1,50000,16.666666666666668,3.2,0.2,0.6,19.0,0.024702000142956104,0.021617643943995277
td3,1,75000,25.0,5.216666666666667,0.3,0.7,15.666666666666666,0.022383137977873634,0.01609959784384368
td3,1,100000,33.333333333333336,7.283333333333333,0.3,0.9,17.666666666666668,0.015475454768360177,0.0116416743609636
td3,1,125000,41.666666666666664,9.416666666666666,0.3,0.9,18.0,0.014499829633990708,0.008505250195030959
td3,1,150000,50.0,11.616666666666667,0.3,0.9,17.333333333333332,0.014120890154531277,0.009581211075084504
td3,1,175000,58.333333333333336,13.85,0.3,0.9,19.666666666666668,0.011187857671979197,0.00906805323978602
td3,1,200000,66.66666666666667,16.066666666666666,0.7,1.0,18.714285714285715,0.009926156754720961,0.005915621721358099
td3,1,225000,75.0,18.316666666666666,0.3,1.0,19.333333333333332,0.010559997669807883,0.008671085854102253
