algo,seed,timesteps,pct_of_training,wall_clock_min,success_rate_within_40pct,reached_at_all_rate,avg_steps_to_reach
td3,2,200000,66.66666666666667,16.066666666666666,0.5,1.0,18.8
td3,2,225000,75.0,18.316666666666666,0.2,1.0,18.0
td3,2,250000,83.33333333333333,20.583333333333332,0.4,1.0,18.25
td3,2,275000,91.66666666666667,22.816666666666666,0.3,1.0,18.666666666666668
td3,2,300000,100.0,25.083333333333332,0.4,1.0,18.75
sac,0,25000,8.333333333333334,1.6166666666666667,0.1,0.1,18.0
sac,0,50000,16.666666666666668,4.283333333333333,0.1,0.2,18.0
sac,0,75000,25.0,6.966666666666667,0.3,0.7,19.666666666666668
sac,0,100000,33.333333333333336,9.7,0.1,0.6,17.0
sac,0,125000,41.666666666666664,12.433333333333334,0.3,0.9,17.666666666666668
sac,0,150000,50.0,15.166666666666666,0.4,0.9,18.0
sac,0,175000,58.333333333333336,17.916666666666668,0.4,1.0,18.0
sac,0,200000,66.66666666666667,20.666666666666668,0.6,1.0,17.833333333333332
sac,0,225000,75.0,23.433333333333334,0.8,1.0,17.75
sac,0,250000,83.33333333333333,26.216666666666665,0.9,1.0,17.444444444444443
sac,0,275000,91.66666666666667,28.95,0.9,1.0,17.77777777777778
sac,0,300000,100.0,31.716666666666665,0.9,1.0,18.22222222222222
sac,1,25000,8.333333333333334,1.6333333333333333,0.0,0.0,
sac,1,50000,16.666666666666668,4.316666666666666,0.2,0.5,19.5
sac,1,75000,25.0,7.016666666666667,0.3,0.6,19.0
sac,1,100000,33.333333333333336,9.716666666666667,0.5,0.8,19.2
sac,1,125000,41.666666666666664,12.583333333333334,0.4,0.9,17.75
sac,1,150000,50.0,15.383333333333333,0.5,1.0,17.6
sac,1,175000,58.333333333333336,18.116666666666667,0.6,0.9,18.166666666666668
sac,1,200000,66.66666666666667,20.9,0.5,0.9,18.4
sac,1,225000,75.0,23.733333333333334,0.4,1.0,18.0
sac,1,250000,83.33333333333333,26.55,0.9,1.0,18.88888888888889
sac,1,275000,91.66666666666667,29.383333333333333,0.9,1.0,18.0
sac,1,300000,100.0,32.35,0.7,1.0,18.285714285714285
sac,2,25000,8.333333333333334,1.7833333333333334,0.0,0.3,
