algo,seed,timesteps,pct_of_training,wall_clock_min,success_rate_within_time_fraction,reached_at_all_rate,avg_steps_to_reach,avg_final_distance,avg_min_distance
ddpg,2,300000,30.0,39.53333333333333,0.0,0.0,,0.15029076534327937,0.13323178985144285
ddpg,2,325000,32.5,43.083333333333336,0.0,0.0,,0.1217739441069797,0.11584944835125781
ddpg,2,350000,35.0,46.666666666666664,0.0,0.0,,0.1554466568324646,0.14230398142338618
ddpg,2,375000,37.5,50.266666666666666,0.0,0.0,,0.12784281615935605,0.11849596485585949
ddpg,2,400000,40.0,53.833333333333336,0.0,0.0,,0.10785277547460907,0.10711337579618889
ddpg,2,425000,42.5,57.416666666666664,0.0,0.0,,0.125256231567685,0.1195351377242541
ddpg,2,450000,45.0,61.016666666666666,0.0,0.0,,0.11238156632162326,0.10186414278014796
ddpg,2,475000,47.5,64.58333333333333,0.0,0.0,,0.23209065828300215,0.23209065828300215
ddpg,2,500000,50.0,68.16666666666667,0.0,0.0,,0.12324329353947445,0.10044556314548862
ddpg,2,525000,52.5,71.78333333333333,0.0,0.0,,0.10203839257736032,0.09394020744943857
ddpg,2,550000,55.0,75.4,0.0,0.0,,0.11284125421702003,0.10793860037561467
ddpg,2,575000,57.5,79.0,0.0,0.0,,0.14371774199853485,0.14265573193166764
ddpg,2,600000,60.0,82.65,0.0,0.0,,0.1360696428903678,0.13031789535608235
ddpg,2,625000,62.5,86.28333333333333,0.0,0.0,,0.10317598594168179,0.10311627349192398
ddpg,2,650000,65.0,89.98333333333333,0.0,0.0,,0.10574971937397834,0.08096356209796732
ddpg,2,675000,67.5,93.625,0.0,0.0,,0.0837865497343678,0.07891496338336451
ddpg,2,700000,70.0,97.33333333333333,0.0,0.0,,0.1503121339765452,0.1502851259069818
ddpg,2,725000,72.5,100.96666666666667,0.0,0.0,,0.12830907562521265,0.11898360526315499
ddpg,2,750000,75.0,104.83333333333333,0.0,0.0,,0.14011292065294279,0.11516846630338659
ddpg,2,775000,77.5,108.7,0.0,0.0,,0.11516345345621279,0.11516345345621279
ddpg,2,800000,80.0,112.53333333333333,0.0,0.0,,0.08532986647852664,0.08292104002345298
ddpg,2,825000,82.5,116.3,0.0,0.0,,0.12495589252429946,0.12305707014183112
ddpg,2,850000,85.0,120.01666666666667,0.0,0.0,,0.07637988166423185,0.07625575840649126
ddpg,2,875000,87.5,123.76666666666667,0.0,0.0,,0.1442637682036952,0.1397981380200164
ddpg,2,900000,90.0,127.5,0.0,0.0,,0.12361907142926823,0.10816787097435025
ddpg,2,925000,92.5,131.21666666666667,0.0,0.0,,0.14802378268419789,0.14342040352813484
ddpg,2,950000,95.0,134.93333333333334,0.0,0.0,,0.12828445783158615,0.11994969548467445
ddpg,2,975000,97.5,138.65,0.0,0.0,,0.13485265731665894,0.1261909990700124
ddpg,2,1000000,100.0,142.28333333333333,0.0,0.0,,0.1269159121768686,0.1269159121768686
td3,0,25000,2.5,1.9916666666666667,0.0,0.0,,0.24910554628510284,0.22271085780371017
td3,0,50000,5.0,5.283333333333333,0.0,0.0,,0.28227393161383174,0.22093859381674688
td3,0,75000,7.5,8.566666666666666,0.0,0.0,,0.22945443683562555,0.21757260598796443
td3,0,100000,10.0,12.1,0.0,0.0,,0.15921278465916472,0.14177819582764403
td3,0,125000,12.5,15.833333333333334,0.0,0.0,,0.1448368032349065,0.14382829019056143
td3,0,150000,15.0,19.616666666666667,0.0,0.0,,0.10641796235884544,0.09855955149323713
td3,0,175000,17.5,23.333333333333332,0.0,0.0,,0.11886516709232557,0.10558201930772093
