algo,seed,timesteps,pct_of_training,success_rate_within_40pct,avg_steps_to_reach
ppo,0,675000,67.5,0.0,
ppo,0,700000,70.0,0.0,
ppo,0,725000,72.5,0.0,
ppo,0,750000,75.0,0.1,20.0
ppo,0,775000,77.5,0.1,20.0
ppo,0,800000,80.0,0.0,
ppo,0,825000,82.5,0.1,19.0
ppo,0,850000,85.0,0.0,
ppo,0,875000,87.5,0.2,18.5
ppo,0,900000,90.0,0.1,20.0
ppo,0,925000,92.5,0.0,
ppo,0,950000,95.0,0.0,
ppo,0,975000,97.5,0.3,20.0
ppo,0,1000000,100.0,0.0,
ppo,1,25000,2.5,0.2,18.5
ppo,1,50000,5.0,0.0,
ppo,1,75000,7.5,0.0,
ppo,1,100000,10.0,0.0,
ppo,1,125000,12.5,0.0,
ppo,1,150000,15.0,0.0,
ppo,1,175000,17.5,0.0,
ppo,1,200000,20.0,0.0,
ppo,1,225000,22.5,0.0,
ppo,1,250000,25.0,0.0,
ppo,1,275000,27.5,0.0,
ppo,1,300000,30.0,0.0,
ppo,1,325000,32.5,0.0,
ppo,1,350000,35.0,0.0,
ppo,1,375000,37.5,0.0,
ppo,1,400000,40.0,0.0,
ppo,1,425000,42.5,0.0,
ppo,1,450000,45.0,0.0,
ppo,1,475000,47.5,0.0,
ppo,1,500000,50.0,0.0,
ppo,1,525000,52.5,0.1,20.0
ppo,1,550000,55.0,0.0,
ppo,1,575000,57.5,0.0,
ppo,1,600000,60.0,0.0,
ppo,1,625000,62.5,0.0,
ppo,1,650000,65.0,0.0,
ppo,1,675000,67.5,0.2,19.0
ppo,1,700000,70.0,0.2,20.0
ppo,1,725000,72.5,0.1,18.0
ppo,1,750000,75.0,0.2,18.5
ppo,1,775000,77.5,0.1,20.0
ppo,1,800000,80.0,0.0,
ppo,1,825000,82.5,0.0,
ppo,1,850000,85.0,0.1,20.0
ppo,1,875000,87.5,0.1,20.0
ppo,1,900000,90.0,0.0,
ppo,1,925000,92.5,0.0,
ppo,1,950000,95.0,0.0,
ppo,1,975000,97.5,0.1,20.0
ppo,1,1000000,100.0,0.1,18.0
ppo,2,25000,2.5,0.0,
ppo,2,50000,5.0,0.0,
ppo,2,75000,7.5,0.1,19.0
ppo,2,100000,10.0,0.0,
ppo,2,125000,12.5,0.0,
ppo,2,150000,15.0,0.2,17.5
ppo,2,175000,17.5,0.0,
ppo,2,200000,20.0,0.0,
ppo,2,225000,22.5,0.0,
ppo,2,250000,25.0,0.0,
ppo,2,275000,27.5,0.0,
ppo,2,300000,30.0,0.0,
ppo,2,325000,32.5,0.0,
ppo,2,350000,35.0,0.0,
ppo,2,375000,37.5,0.1,18.0
ppo,2,400000,40.0,0.0,
ppo,2,425000,42.5,0.0,
ppo,2,450000,45.0,0.0,
ppo,2,475000,47.5,0.0,
ppo,2,500000,50.0,0.0,
ppo,2,525000,52.5,0.0,
ppo,2,550000,55.0,0.0,
ppo,2,575000,57.5,0.2,20.0
ppo,2,600000,60.0,0.1,20.0
ppo,2,625000,62.5,0.0,
ppo,2,650000,65.0,0.0,
ppo,2,675000,67.5,0.1,20.0
ppo,2,700000,70.0,0.1,20.0
ppo,2,725000,72.5,0.2,18.5
ppo,2,750000,75.0,0.1,19.0
ppo,2,775000,77.5,0.1,20.0
ppo,2,800000,80.0,0.1,20.0
ppo,2,825000,82.5,0.1,19.0
ppo,2,850000,85.0,0.2,19.0
ppo,2,875000,87.5,0.1,19.0
ppo,2,900000,90.0,0.1,18.0
ppo,2,925000,92.5,0.1,20.0
ppo,2,950000,95.0,0.1,20.0
ppo,2,975000,97.5,0.1,20.0
ppo,2,1000000,100.0,0.0,
ddpg_1critic,0,25000,8.333333333333334,0.2,13.5
